rank,region_id,name,country,level,continent,mix_alpha,mix_s_pct_production,mix_s_pct_demand,mix_f_adj,solar_cf,wind_cf,feasible
247,163,Sri Lanka,Sri Lanka,admin0,Asia,1.0,5.8718,7.5705,1.2893,0.2318,0.2245,True
248,13,Malawi,Malawi,admin0,Africa,1.0,5.8825,7.6973,1.3085,0.2429,0.0896,True
249,339,Gedarif,Sudan,admin1,Africa,1.0,5.8988,7.3187,1.2407,0.2641,0.2577,True
250,650,Minas Gerais,Brazil,admin1,South America,0.95,5.9102,7.4161,1.2548,0.2247,0.045,True
251,83,Ivory Coast,Ivory Coast,admin0,Africa,0.95,5.9448,7.61,1.2801,0.2178,0.0179,True
252,413,Atyrau,Kazakhstan,admin1,Asia,0.1,5.9491,8.2133,1.3806,0.1597,0.4813,True
253,426,El Tarf,Algeria,admin1,Africa,0.4,5.9536,8.1505,1.369,0.1901,0.2566,True
254,699,Yaroslavl',Russia,admin1,Europe,0.2,5.9564,7.1578,1.2017,0.1172,0.297,True
255,328,Primor'ye,Russia,admin1,Europe,0.25,5.9586,10.4513,1.754,0.1535,0.1796,True
256,199,Comoros,Comoros,admin0,Africa,0.9,5.9602,7.4968,1.2578,0.2506,0.374,True
257,175,Seychelles,Seychelles,admin0,Seven seas (open ocean),0.9,5.9602,7.4968,1.2578,0.2506,0.374,True
258,24,Costa Rica,Costa Rica,admin0,North America,1.0,5.9894,7.6065,1.27,0.2125,0.0811,True
259,709,Moskovskaya,Russia,admin1,Europe,0.25,5.9925,7.7076,1.2862,0.1209,0.2567,True
260,213,Tonga,Tonga,admin0,Oceania,0.75,6.0121,7.375,1.2267,0.2456,0.6006,True
261,214,Wallis and Futuna,Wallis and Futuna,admin0,Oceania,0.75,6.0121,7.375,1.2267,0.2456,0.6006,True
262,589,Nationalparken,Greenland,admin1,North America,0.15,6.0224,7.1528,1.1877,0.1079,0.5029,True
263,577,Tamil Nadu,India,admin1,Asia,0.8,6.0314,7.8866,1.3076,0.2277,0.2027,True
264,580,Chukchi Autonomous Okrug,Russia,admin1,Europe,0.05,6.037,12.522,2.0742,0.102,0.2302,True
265,186,Antigua and Barbuda,Antigua and Barbuda,admin0,North America,0.8,6.0426,7.3115,1.21,0.2564,0.6734,True
266,189,Saint Barthelemy,Saint Barthelemy,admin0,North America,0.8,6.0426,7.3115,1.21,0.2564,0.6734,True
267,191,Anguilla,Anguilla,admin0,North America,0.8,6.0426,7.3115,1.21,0.2564,0.6734,True
268,32,Saint Martin,Saint Martin,admin0,North America,0.8,6.0426,7.3115,1.21,0.2564,0.6734,True
269,33,Sint Maarten,Sint Maarten,admin0,North America,0.8,6.0426,7.3115,1.21,0.2564,0.6734,True
270,463,Pernambuco,Brazil,admin1,South America,0.85,6.0546,7.7553,1.2809,0.2458,0.3165,True
271,534,Alabama,United States of America,admin1,North America,0.5,6.0744,8.5363,1.4053,0.1911,0.1597,True
272,687,Tambov,Russia,admin1,Europe,0.35,6.0746,7.9067,1.3016,0.1295,0.3062,True
273,2,Bolivia,Bolivia,admin0,South America,0.95,6.1092,7.5809,1.2409,0.2212,0.0668,True
274,705,Chuvash,Russia,admin1,Europe,0.25,6.1093,8.3911,1.3735,0.1246,0.2602,True
275,166,The Bahamas,The Bahamas,admin0,North America,0.3,6.1096,7.6608,1.2539,0.2343,0.5903,True
276,193,Jamaica,Jamaica,admin0,North America,0.95,6.1101,8.2328,1.3474,0.2412,0.1821,True
277,621,Iowa,United States of America,admin1,North America,0.35,6.1213,7.2488,1.1842,0.1658,0.3751,True
278,309,Belgorod,Russia,admin1,Europe,0.2,6.123,7.6188,1.2443,0.134,0.3347,True
279,51,Georgia,Georgia,admin0,Asia,0.0,6.1286,15.0855,2.4615,0.1575,0.1023,True
280,105,East Timor,East Timor,admin0,Asia,0.9,6.1399,8.1569,1.3285,0.2445,0.1003,True
281,672,Médéa,Algeria,admin1,Africa,0.15,6.1417,17.9116,2.9164,0.1993,0.1479,True
282,767,Indiana,United States of America,admin1,North America,0.5,6.1419,7.5245,1.2251,0.1664,0.2864,True
283,697,Kaluga,Russia,admin1,Europe,0.2,6.1434,8.1535,1.3272,0.1195,0.2516,True
284,356,Ohio,United States of America,admin1,North America,0.45,6.1528,7.2775,1.1828,0.1612,0.283,True
285,522,Aïn Témouchent,Algeria,admin1,Africa,0.15,6.1615,10.6662,1.7311,0.2065,0.2812,True
286,669,Mascara,Algeria,admin1,Africa,0.1,6.1638,11.4437,1.8566,0.1955,0.1905,True
287,116,Montenegro,Montenegro,admin0,Europe,0.3,6.1727,12.883,2.0871,0.1621,0.1412,True
288,37,Lithuania,Lithuania,admin0,Europe,0.3,6.1753,7.7303,1.2518,0.1213,0.3069,True
289,469,São Paulo,Brazil,admin1,South America,0.8,6.1812,8.2896,1.3411,0.2146,0.0775,True
290,470,Ciudad de Buenos Aires,Argentina,admin1,South America,0.0,6.1897,9.4213,1.5221,0.1928,0.3859,True
291,126,Portugal,Portugal,admin0,Europe,0.1,6.1904,9.953,1.6078,0.1931,0.1962,True
292,440,Kassala,Sudan,admin1,Africa,0.8,6.1929,7.8662,1.2702,0.2636,0.3689,True
293,432,Western Darfur,Sudan,admin1,Africa,1.0,6.1939,7.7163,1.2458,0.2655,0.3126,True
294,348,Montana,United States of America,admin1,North America,0.15,6.1945,8.5788,1.3849,0.1614,0.2872,True
295,45,Finland,Finland,admin0,Europe,0.1,6.2048,8.688,1.4002,0.107,0.2467,True
296,417,`Asir,Saudi Arabia,admin1,Asia,0.85,6.2163,7.8207,1.2581,0.2571,0.2419,True
297,738,Distrito Federal,Mexico,admin1,North America,1.0,6.2294,8.1886,1.3145,0.2451,0.0599,True
298,762,Illinois,United States of America,admin1,North America,0.4,6.2311,7.4605,1.1973,0.1687,0.3228,True
299,286,Murmansk,Russia,admin1,Europe,0.05,6.2392,8.7835,1.4078,0.0957,0.3475,True
300,548,Veracruz,Mexico,admin1,North America,0.4,6.2441,11.1038,1.7783,0.2057,0.0872,True
301,410,Saratov,Russia,admin1,Europe,0.3,6.2643,8.0991,1.2929,0.1383,0.3412,True
302,53,Albania,Albania,admin0,Europe,0.25,6.2692,11.9122,1.9001,0.1783,0.1458,True
303,79,Italy,Italy,admin0,Europe,0.05,6.2802,13.1527,2.0943,0.1706,0.1472,True
304,695,Khakass,Russia,admin1,Europe,0.2,6.3019,13.471,2.1376,0.1283,0.1296,True
305,710,Moskva,Russia,admin1,Europe,0.15,6.3153,8.5794,1.3585,0.1216,0.2401,True
306,707,Novgorod,Russia,admin1,Europe,0.25,6.317,8.0977,1.2819,0.1135,0.2413,True
307,545,Rhode Island,United States of America,admin1,North America,0.3,6.3189,9.3418,1.4784,0.1622,0.3563,True
308,691,Penza,Russia,admin1,Europe,0.3,6.3246,8.7394,1.3818,0.1283,0.2763,True
309,84,Republic of Serbia,Republic of Serbia,admin0,Europe,0.2,6.364,10.2983,1.6182,0.15,0.1388,True
310,88,Benin,Benin,admin0,Africa,0.85,6.3703,8.4062,1.3196,0.2298,0.0444,True
311,465,Sergipe,Brazil,admin1,South America,1.0,6.375,8.4022,1.318,0.2345,0.2436,True
312,236,Serranilla Bank,Serranilla Bank,admin0,North America,1.0,6.3816,8.3497,1.3084,0.2628,0.2286,True
313,146,Mauritania,Mauritania,admin0,Africa,0.3,6.3865,8.6792,1.359,0.251,0.4052,True
314,454,Crimea,Russia,admin1,Europe,0.25,6.3866,7.8446,1.2283,0.1553,0.3897,True
315,47,Cambodia,Cambodia,admin0,Asia,1.0,6.3934,8.1286,1.2714,0.2158,0.0516,True
316,161,Madagascar,Madagascar,admin0,Africa,0.8,6.401,8.0134,1.2519,0.2498,0.1378,True
317,352,Manitoba,Canada,admin1,North America,0.1,6.4061,9.2132,1.4382,0.1345,0.297,True
318,439,Red Sea,Sudan,admin1,Africa,0.85,6.4072,8.0667,1.259,0.26,0.29,True
319,85,Mali,Mali,admin0,Africa,1.0,6.4164,7.8428,1.2223,0.2534,0.2675,True
320,663,Tissemsilt,Algeria,admin1,Africa,0.25,6.4257,19.2052,2.9888,0.1951,0.1364,True
321,460,Ceará,Brazil,admin1,South America,1.0,6.4602,8.072,1.2495,0.246,0.2922,True
322,10,South Sudan,South Sudan,admin0,Africa,1.0,6.4644,8.1367,1.2587,0.2417,0.0477,True
323,265,Krasnodar,Russia,admin1,Europe,0.1,6.4682,9.0529,1.3996,0.1489,0.3438,True
324,758,Chhattisgarh,India,admin1,Asia,0.8,6.4686,8.5353,1.3195,0.2179,0.0517,True
325,149,Hong Kong S.A.R.,Hong Kong S.A.R.,admin0,Asia,0.85,6.4742,8.9979,1.3898,0.1653,0.303,True
326,100,Dominican Republic,Dominican Republic,admin0,North America,0.85,6.4799,8.4537,1.3046,0.2248,0.1085,True
327,586,Arkhangel'sk,Russia,admin1,Europe,0.1,6.5008,8.059,1.2397,0.102,0.2809,True
328,430,Ouargla,Algeria,admin1,Africa,0.0,6.5058,10.4561,1.6072,0.2389,0.3632,True
329,713,Udmurt,Russia,admin1,Europe,0.15,6.5086,9.4602,1.4535,0.1196,0.2209,True
330,171,Iceland,Iceland,admin0,Europe,0.1,6.5106,9.1878,1.4112,0.0936,0.5031,True
331,544,Connecticut,United States of America,admin1,North America,0.35,6.5131,9.4603,1.4525,0.1626,0.276,True
332,508,Al Marqab,Libya,admin1,Africa,0.2,6.5257,8.8064,1.3495,0.2093,0.4273,True
333,467,Espírito Santo,Brazil,admin1,South America,1.0,6.531,8.3936,1.2852,0.2001,0.0785,True
334,207,Faroe Islands,Faroe Islands,admin0,Europe,0.3,6.5333,8.686,1.3295,0.093,0.6853,True
335,354,Ontario,Canada,admin1,North America,0.1,6.5349,8.3104,1.2717,0.1413,0.2662,True
336,377,Chiapas,Mexico,admin1,North America,1.0,6.5409,8.2978,1.2686,0.2248,0.0204,True
337,36,Tajikistan,Tajikistan,admin0,Asia,0.2,6.5447,18.0981,2.7653,0.2016,0.1707,True
338,50,Belgium,Belgium,admin0,Europe,0.3,6.5481,8.4117,1.2846,0.12,0.3331,True
339,412,Volgograd,Russia,admin1,Europe,0.3,6.5541,8.131,1.2406,0.1419,0.4068,True
340,693,Orel,Russia,admin1,Europe,0.3,6.5586,9.1964,1.4022,0.1257,0.261,True
341,359,Québec,Canada,admin1,North America,0.15,6.5798,8.9557,1.3611,0.1278,0.3326,True
342,646,Hubei,China,admin1,Asia,0.45,6.5942,10.0363,1.522,0.1378,0.0795,True
343,327,Khabarovsk,Russia,admin1,Europe,0.1,6.5966,13.5639,2.0562,0.1304,0.1325,True
344,233,Macao S.A.R,Macao S.A.R,admin0,Asia,0.7,6.6187,8.3045,1.2547,0.1631,0.3498,True
345,614,Wyoming,United States of America,admin1,North America,0.3,6.6228,9.1745,1.3853,0.182,0.3126,True
346,474,Queensland,Australia,admin1,Oceania,0.7,6.6231,8.8538,1.3368,0.2399,0.3026,True
347,575,Kerala,India,admin1,Asia,0.9,6.625,8.6151,1.3004,0.2306,0.071,True
348,405,Novosibirsk,Russia,admin1,Europe,0.1,6.653,10.3907,1.5618,0.1314,0.2985,True
349,114,Andorra,Andorra,admin0,Europe,0.3,6.6584,11.5543,1.7353,0.1684,0.1496,True
350,420,Murzuq,Libya,admin1,Africa,0.1,6.6671,10.568,1.5851,0.2607,0.3487,True
351,518,Tipaza,Algeria,admin1,Africa,0.15,6.6812,8.9963,1.3465,0.2046,0.3508,True
352,578,Sakhalin,Russia,admin1,Europe,0.35,6.6874,9.1624,1.3701,0.1269,0.3232,True
353,306,Smolensk,Russia,admin1,Europe,0.2,6.7113,8.5643,1.2761,0.1195,0.2854,True
354,363,New Brunswick,Canada,admin1,North America,0.35,6.7114,8.9261,1.33,0.1439,0.2921,True
355,310,Voronezh,Russia,admin1,Europe,0.3,6.7145,8.2058,1.2221,0.1344,0.3507,True
356,742,Sabha,Libya,admin1,Africa,0.0,6.7255,10.9962,1.635,0.2472,0.362,True
357,99,Haiti,Haiti,admin0,North America,1.0,6.7318,8.4598,1.2567,0.2414,0.153,True
358,148,Gambia,Gambia,admin0,Africa,1.0,6.7422,8.2956,1.2304,0.2397,0.1461,True
359,727,Puebla,Mexico,admin1,North America,0.65,6.7552,9.1952,1.3612,0.2424,0.0866,True
360,71,Sierra Leone,Sierra Leone,admin0,Africa,0.95,6.7611,8.732,1.2915,0.2175,0.0173,True
361,375,Campeche,Mexico,admin1,North America,1.0,6.7639,8.607,1.2725,0.2308,0.0489,True
362,731,Guanajuato,Mexico,admin1,North America,0.6,6.7822,9.2475,1.3635,0.2513,0.1233,True
363,706,Vologda,Russia,admin1,Europe,0.2,6.7839,8.6943,1.2816,0.1134,0.214,True
364,712,Kirov,Russia,admin1,Europe,0.2,6.7925,9.3743,1.3801,0.1164,0.2099,True
365,30,Namibia,Namibia,admin0,Africa,0.9,6.7987,8.529,1.2545,0.2566,0.215,True
366,229,Bahrain,Bahrain,admin0,Asia,0.5,6.803,8.2194,1.2082,0.2502,0.482,True
367,132,Cameroon,Cameroon,admin0,Africa,1.0,6.8038,8.4993,1.2492,0.2195,0.005,True
368,87,Nigeria,Nigeria,admin0,Africa,0.85,6.8065,9.0636,1.3316,0.233,0.0691,True
369,728,Morelos,Mexico,admin1,North America,0.8,6.8074,9.9735,1.4651,0.2488,0.0483,True
370,307,Bryansk,Russia,admin1,Europe,0.3,6.8219,8.6666,1.2704,0.1235,0.2773,True
371,134,Niger,Niger,admin0,Africa,1.0,6.8283,8.409,1.2315,0.2723,0.3018,True
372,201,Cabo Verde,Cabo Verde,admin0,Africa,0.95,6.8345,8.418,1.2317,0.2514,0.6268,True
373,280,Central Darfur,Sudan,admin1,Africa,0.85,6.8424,9.1825,1.342,0.255,0.1127,True
374,431,North Darfur,Sudan,admin1,Africa,1.0,6.8626,8.4911,1.2373,0.2758,0.3574,True
375,94,Zimbabwe,Zimbabwe,admin0,Africa,1.0,6.8644,8.8468,1.2888,0.246,0.126,True
376,194,Cayman Islands,Cayman Islands,admin0,North America,0.4,6.8733,10.5705,1.5379,0.2452,0.4695,True
377,704,Tula,Russia,admin1,Europe,0.3,6.8814,9.1991,1.3368,0.1226,0.2895,True
378,97,Thailand,Thailand,admin0,Asia,0.95,6.8846,8.7448,1.2702,0.207,0.044,True
379,102,Kuwait,Kuwait,admin0,Asia,0.1,6.8862,10.2707,1.4915,0.2366,0.3931,True
380,564,Newfoundland and Labrador,Canada,admin1,North America,0.15,6.8897,9.5539,1.3867,0.1239,0.4021,True
381,573,Goa,India,admin1,Asia,0.7,6.9082,9.3565,1.3544,0.2357,0.1083,True
382,140,Belize,Belize,admin0,North America,1.0,6.9228,8.9989,1.2999,0.2057,0.0442,True
383,384,Mendoza,Argentina,admin1,South America,0.2,6.9286,11.4793,1.6568,0.2178,0.3016,True
384,267,Kabardin-Balkar,Russia,admin1,Europe,0.1,6.9458,13.072,1.882,0.1438,0.1208,True
385,169,Japan,Japan,admin0,Asia,0.55,6.965,9.5838,1.376,0.151,0.186,True
386,535,Florida,United States of America,admin1,North America,0.75,6.9771,8.7005,1.247,0.2069,0.1582,True
387,505,Andhra Pradesh,India,admin1,Asia,0.85,6.9856,9.096,1.3021,0.2261,0.1923,True
388,345,Washington,United States of America,admin1,North America,0.0,6.9973,14.5585,2.0806,0.1561,0.1191,True
389,289,Amapá,Brazil,admin1,South America,1.0,6.9974,9.0574,1.2944,0.2164,0.0222,True
390,64,Hungary,Hungary,admin0,Europe,0.3,7.0002,9.8248,1.4035,0.1409,0.2114,True
391,510,Az Zawiyah,Libya,admin1,Africa,0.05,7.0045,9.8511,1.4064,0.2272,0.3709,True
392,113,Bangladesh,Bangladesh,admin0,Asia,0.9,7.0067,8.9644,1.2794,0.1993,0.0977,True
393,344,Meghalaya,India,admin1,Asia,1.0,7.0132,9.0765,1.2942,0.1908,0.0104,True
394,66,Poland,Poland,admin0,Europe,0.3,7.0232,9.3893,1.3369,0.1169,0.267,True
395,234,Ashmore and Cartier Islands,Ashmore and Cartier Islands,admin0,Oceania,0.7,7.0288,9.0981,1.2944,0.2618,0.543,True
396,674,M'Sila,Algeria,admin1,Africa,0.2,7.0349,16.8824,2.3998,0.2061,0.2415,True
397,686,Lipetsk,Russia,admin1,Europe,0.35,7.0408,8.9791,1.2753,0.1275,0.3047,True
398,609,Jharkhand,India,admin1,Asia,0.85,7.0427,9.2435,1.3125,0.2106,0.0805,True
399,760,Telangana,India,admin1,Asia,0.95,7.0465,8.88,1.2602,0.2262,0.1465,True
400,565,Nova Scotia,Canada,admin1,North America,0.4,7.048,8.9044,1.2634,0.1441,0.3835,True
401,311,Rostov,Russia,admin1,Europe,0.3,7.0623,8.4232,1.1927,0.1437,0.4064,True
402,607,MEX+99?,Mexico,admin1,North America,0.8,7.0725,8.823,1.2475,0.2633,0.4346,True
403,374,Quintana Roo,Mexico,admin1,North America,0.95,7.0892,9.0444,1.2758,0.2179,0.083,True
404,152,Cyprus No Mans Area,Cyprus No Mans Area,admin0,Asia,0.5,7.0928,9.8278,1.3856,0.2158,0.2658,True
405,4,Dhekelia Sovereign Base Area,Dhekelia Sovereign Base Area,admin0,Asia,0.5,7.0928,9.8278,1.3856,0.2158,0.2658,True
406,551,Guerrero,Mexico,admin1,North America,0.85,7.0934,9.974,1.4061,0.2522,0.0252,True
407,690,Ul'yanovsk,Russia,admin1,Europe,0.35,7.1211,9.1392,1.2834,0.1272,0.2953,True
408,594,Lakshadweep,India,admin1,Asia,0.65,7.1247,9.6989,1.3613,0.2339,0.0934,True
409,617,South Dakota,United States of America,admin1,North America,0.25,7.1482,8.6786,1.2141,0.1666,0.418,True
410,475,New South Wales,Australia,admin1,Oceania,0.05,7.156,12.4908,1.7455,0.2129,0.241,True
411,734,Aguascalientes,Mexico,admin1,North America,0.7,7.1675,9.2339,1.2883,0.2521,0.1706,True
412,433,Al Butnan,Libya,admin1,Africa,0.0,7.168,11.3871,1.5886,0.2453,0.3712,True
413,266,Karachay-Cherkess,Russia,admin1,Europe,0.25,7.169,11.7736,1.6423,0.1483,0.1245,True
414,268,North Ossetia,Russia,admin1,Europe,0.25,7.1786,17.6767,2.4624,0.1479,0.1152,True
415,288,Leningrad,Russia,admin1,Europe,0.25,7.1944,8.8649,1.2322,0.1154,0.2763,True
416,585,City of St. Petersburg,Russia,admin1,Europe,0.15,7.1945,10.817,1.5035,0.1157,0.2615,True
417,336,Manipur,India,admin1,Asia,0.95,7.1953,9.446,1.3128,0.1929,0.0051,True
418,70,Zambia,Zambia,admin0,Africa,1.0,7.1999,9.0114,1.2516,0.2484,0.0921,True
419,43,Norway,Norway,admin0,Europe,0.15,7.2048,10.8367,1.5041,0.0956,0.3209,True
420,112,Myanmar,Myanmar,admin0,Asia,1.0,7.2167,9.1825,1.2724,0.2055,0.0127,True
421,335,Nagaland,India,admin1,Asia,1.0,7.2343,9.3062,1.2864,0.1912,0.0022,True
422,279,An Nuqat al Khams,Libya,admin1,Africa,0.0,7.2499,11.3069,1.5596,0.2303,0.3962,True
423,192,British Virgin Islands,British Virgin Islands,admin0,North America,0.9,7.2618,9.3902,1.2931,0.2398,0.2692,True
424,402,Omsk,Russia,admin1,Europe,0.15,7.2799,10.751,1.4768,0.1297,0.2721,True
425,514,Béjaïa,Algeria,admin1,Africa,0.3,7.2855,12.7933,1.756,0.1884,0.1518,True
426,644,Jiangxi,China,admin1,Asia,0.35,7.2911,11.3472,1.5563,0.1442,0.0593,True
427,72,Guinea,Guinea,admin0,Africa,0.95,7.2914,8.9815,1.2318,0.2343,0.021,True
428,523,Colima,Mexico,admin1,North America,0.85,7.3003,10.2095,1.3985,0.2494,0.0584,True
429,689,Tatarstan,Russia,admin1,Europe,0.25,7.3163,9.8939,1.3523,0.125,0.2998,True
430,730,Hidalgo,Mexico,admin1,North America,0.4,7.3169,11.2432,1.5366,0.2325,0.0886,True
431,726,México,Mexico,admin1,North America,0.85,7.346,9.4903,1.2919,0.2418,0.052,True
432,241,Jujuy,Argentina,admin1,South America,1.0,7.3687,9.4341,1.2803,0.2599,0.2056,True
433,349,Alberta,Canada,admin1,North America,0.05,7.3714,10.0406,1.3621,0.133,0.1975,True
434,515,Tizi Ouzou,Algeria,admin1,Africa,0.3,7.3762,13.5751,1.8404,0.1888,0.2109,True
435,55,Kosovo,Kosovo,admin0,Europe,0.2,7.3939,16.6667,2.2541,0.1558,0.1013,True
436,657,La Pampa,Argentina,admin1,South America,0.0,7.3947,12.398,1.6766,0.208,0.4234,True
437,619,Kansas,United States of America,admin1,North America,0.15,7.3955,9.7125,1.3133,0.1884,0.4275,True
438,546,Massachusetts,United States of America,admin1,North America,0.4,7.3962,10.4841,1.4175,0.159,0.2914,True
439,703,Nizhegorod,Russia,admin1,Europe,0.25,7.3965,9.3174,1.2597,0.122,0.2476,True
440,708,Tver',Russia,admin1,Europe,0.25,7.4128,9.3349,1.2593,0.1175,0.2472,True
441,29,Belarus,Belarus,admin0,Europe,0.35,7.4181,9.5063,1.2815,0.1199,0.2591,True
442,118,Uganda,Uganda,admin0,Africa,0.95,7.457,9.243,1.2395,0.2364,0.0348,True
443,109,eSwatini,eSwatini,admin0,Africa,1.0,7.4613,9.8713,1.323,0.2113,0.0918,True
444,357,Pennsylvania,United States of America,admin1,North America,0.35,7.4906,10.4689,1.3976,0.1551,0.2322,True
445,739,Al Jifarah,Libya,admin1,Africa,0.15,7.4938,9.7509,1.3012,0.2213,0.3754,True
446,666,El Bayadh,Algeria,admin1,Africa,0.05,7.4953,13.4938,1.8003,0.2252,0.3221,True
447,473,South Australia,Australia,admin1,Oceania,0.0,7.5008,11.0029,1.4669,0.2234,0.4417,True
448,698,Kostroma,Russia,admin1,Europe,0.2,7.5022,9.3072,1.2406,0.1162,0.2176,True
449,128,Turkmenistan,Turkmenistan,admin0,Asia,0.05,7.5059,11.475,1.5288,0.1888,0.3676,True
450,302,Mato Grosso do Sul,Brazil,admin1,South America,0.85,7.5178,9.6483,1.2834,0.2206,0.0718,True
451,587,Krasnoyarsk,Russia,admin1,Europe,0.0,7.5369,10.0444,1.3327,0.1042,0.2432,True
452,414,Al Hudud ash Shamaliyah,Saudi Arabia,admin1,Asia,0.2,7.5372,11.3427,1.5049,0.2381,0.299,True
453,620,Oklahoma,United States of America,admin1,North America,0.2,7.5376,9.6428,1.2793,0.1936,0.3846,True
454,647,Anhui,China,admin1,Asia,0.55,7.5434,9.6178,1.275,0.1507,0.1344,True
455,449,Eastern Darfur,Sudan,admin1,Africa,1.0,7.5482,9.4367,1.2502,0.2568,0.1963,True
456,702,Ivanovo,Russia,admin1,Europe,0.25,7.5563,9.0978,1.204,0.1192,0.2815,True
457,684,Sverdlovsk,Russia,admin1,Europe,0.1,7.5705,12.5875,1.6627,0.115,0.1862,True
458,125,Brazilian Island,Brazilian Island,admin0,South America,0.2,7.5802,12.9895,1.7136,0.2077,0.2079,True
459,281,Southern Darfur,Sudan,admin1,Africa,1.0,7.5829,9.4529,1.2466,0.255,0.1626,True
460,464,Alagoas,Brazil,admin1,South America,1.0,7.5855,9.9871,1.3166,0.2409,0.2272,True
461,393,Aqtöbe,Kazakhstan,admin1,Asia,0.2,7.5939,9.8485,1.2969,0.1586,0.4437,True
462,593,Kommune Kujalleq,Greenland,admin1,North America,0.35,7.5944,9.3548,1.2318,0.1151,0.4791,True
463,530,Makkah,Saudi Arabia,admin1,Asia,0.75,7.5959,9.5913,1.2627,0.2551,0.2826,True
464,34,Oman,Oman,admin0,Asia,0.85,7.5994,9.2492,1.2171,0.263,0.3265,True
465,716,Samara,Russia,admin1,Europe,0.3,7.6005,9.3061,1.2244,0.1325,0.3414,True
466,541,Maryland,United States of America,admin1,North America,0.35,7.636,10.0955,1.3221,0.1649,0.2546,True
467,74,Central African Republic,Central African Republic,admin0,Africa,1.0,7.6435,9.5635,1.2512,0.2383,0.0214,True
468,517,Alger,Algeria,admin1,Africa,0.35,7.6478,10.8514,1.4189,0.2013,0.2426,True
469,537,South Carolina,United States of America,admin1,North America,0.4,7.6525,10.1916,1.3318,0.189,0.1873,True
470,347,Idaho,United States of America,admin1,North America,0.0,7.7204,13.0173,1.6861,0.1823,0.132,True
471,629,Ar Riyad,Saudi Arabia,admin1,Asia,0.8,7.7205,9.6691,1.2524,0.254,0.2878,True
472,35,Uzbekistan,Uzbekistan,admin0,Asia,0.0,7.7232,11.5964,1.5015,0.184,0.3599,True
473,425,Béchar,Algeria,admin1,Africa,0.1,7.7377,12.9892,1.6787,0.2378,0.3171,True
474,718,Adygey,Russia,admin1,Europe,0.1,7.7539,13.8888,1.7912,0.1453,0.2509,True
475,429,Souk Ahras,Algeria,admin1,Africa,0.3,7.7625,12.6575,1.6306,0.1928,0.2003,True
476,581,Yamal-Nenets,Russia,admin1,Europe,0.0,7.7649,10.3622,1.3345,0.0988,0.4187,True
477,353,Minnesota,United States of America,admin1,North America,0.25,7.7683,9.4696,1.219,0.1547,0.3195,True
478,572,Maharashtra,India,admin1,Asia,1.0,7.7809,9.7463,1.2526,0.2257,0.1485,True
479,532,Louisiana,United States of America,admin1,North America,0.5,7.7839,9.7229,1.2491,0.1901,0.1867,True
480,688,Tomsk,Russia,admin1,Europe,0.25,7.7926,11.6733,1.498,0.1211,0.2051,True
481,92,Qatar,Qatar,admin0,Asia,0.5,7.8053,10.0493,1.2875,0.2447,0.3779,True
482,542,Delaware,United States of America,admin1,North America,0.3,7.8108,10.265,1.3142,0.168,0.3211,True
483,292,West Bengal,India,admin1,Asia,1.0,7.8136,9.7975,1.2539,0.2057,0.1052,True
484,618,Nebraska,United States of America,admin1,North America,0.4,7.8262,9.1684,1.1715,0.1788,0.4461,True
485,358,New York,United States of America,admin1,North America,0.3,7.8314,10.4416,1.3333,0.154,0.3068,True
486,715,Perm',Russia,admin1,Europe,0.15,7.8323,11.2903,1.4415,0.1134,0.1958,True
487,662,Blida,Algeria,admin1,Africa,0.35,7.8359,10.9358,1.3956,0.2018,0.2478,True
488,360,Vermont,United States of America,admin1,North America,0.35,7.836,14.0273,1.7901,0.1495,0.224,True
489,343,Tripura,India,admin1,Asia,0.95,7.8445,9.9108,1.2634,0.1978,0.0511,True
490,400,Tyumen',Russia,admin1,Europe,0.1,7.8632,12.383,1.5748,0.123,0.2395,True
491,250,East Kazakhstan,Kazakhstan,admin1,Asia,0.0,7.8799,10.7639,1.366,0.1577,0.2835,True
492,696,Mordovia,Russia,admin1,Europe,0.35,7.8963,9.8949,1.2531,0.1223,0.3008,True
493,138,Guinea-Bissau,Guinea-Bissau,admin0,Africa,1.0,7.9107,9.9129,1.2531,0.2383,0.0991,True
494,8,Lebanon,Lebanon,admin0,Asia,0.3,7.9132,13.4128,1.695,0.2174,0.2037,True
495,701,Ryazan',Russia,admin1,Europe,0.35,7.918,10.0471,1.2689,0.1228,0.2835,True
496,38,Uruguay,Uruguay,admin0,South America,0.35,7.9272,9.7956,1.2357,0.1972,0.3229,True
497,733,Zacatecas,Mexico,admin1,North America,0.85,7.9309,10.0016,1.2611,0.2511,0.1787,True
498,287,Karelia,Russia,admin1,Europe,0.2,7.9591,10.6126,1.3334,0.1093,0.2673,True
499,714,Komi,Russia,admin1,Europe,0.1,7.9601,10.6036,1.3321,0.1039,0.2366,True
500,86,Senegal,Senegal,admin0,Africa,1.0,7.9734,9.8089,1.2302,0.2413,0.1986,True
501,381,Catamarca,Argentina,admin1,South America,0.55,7.9745,10.1635,1.2745,0.257,0.2658,True
502,579,Sevastopol,Russia,admin1,Europe,0.2,7.9779,11.1515,1.3978,0.1707,0.4047,True
503,765,Tennessee,United States of America,admin1,North America,0.45,7.9905,11.3849,1.4248,0.178,0.1819,True
504,17,France,France,admin0,Europe,0.3,8.0124,10.4193,1.3004,0.1543,0.2098,True
