HYBAS_ID,P_mm_yr,ET_mm_yr,runoff_mm_yr,T_degC,GWS_mm,region,SUB_AREA_km2,relief_m,mainstem_km,gradient_m_per_km
1060010030,1101.8942,1116.3397,83.56475,26.95708,958.97034,af,17865.4,1006.0,269.2100000000002,3.736859700605472
1060010040,1192.1451,1115.8368,80.11173,26.024622,608.8485,af,3583.1,255.0,75.38,3.382860175112762
1060010180,1172.8054,1211.7386,94.38171,26.155645,682.5042,af,2578.4,676.0,113.8,5.9402460456942
1060010190,1202.0455,1221.6648,86.22048,25.579817,713.0473,af,2609.5,998.0,122.26,8.162931457549485
1060010290,1120.8542,1035.4636,64.97535,26.208311,1458.7384,af,24704.5,1173.0,568.65,2.0627802690582957
1060010300,1140.586,991.8992,151.17671,26.808258,726.221,af,3138.4,670.0,72.44,9.249033683048038
1060010400,1098.2219,1022.9443,68.872856,26.92527,1281.1708,af,10303.7,1040.0,361.6,2.8761061946902657
1060010410,1090.2172,827.6156,114.17274,27.319744,608.80023,af,4211.7,646.0,111.58000000000004,5.789568022943177
1060010560,1075.2512,1007.4493,73.82916,26.994537,1439.2362,af,5502.7,856.0,251.54,3.4030372902918034
1060010570,1098.3368,0.0,0.0,,0.0,af,6.4,14.0,,
1060010590,1118.1467,1008.4644,68.99428,27.229525,1488.9888,af,16159.1,1193.0,255.5,4.669275929549902
1060010600,1087.4523,845.6615,79.84982,26.984083,424.84042,af,3552.5,753.0,76.86,9.797033567525373
1060010730,1149.5728,1045.2118,84.05966,26.799122,1190.5587,af,9460.8,1417.0,309.14999999999986,4.58353550056607
1060010740,1089.2106,890.556,139.38461,27.427732,504.96375,af,4009.1,312.0,67.0,4.656716417910448
1060010870,1152.2888,1036.2299,85.7158,26.561302,1110.5215,af,8086.9,1058.0,239.16,4.423816691754475
1060010880,1079.5472,822.48364,63.55798,26.340467,621.71063,af,2419.5,309.0,79.65,3.879472693032015
1060010980,1129.2964,1029.1626,98.829735,26.051018,1024.7065,af,3735.8,703.0,155.24,4.528472043287811
1060010990,1081.9066,861.6819,101.793045,26.383247,472.07822,af,732.5,142.0,44.18,3.2141240380262563
1060011020,1128.0992,1094.9246,99.130714,26.61097,1350.365,af,2885.6,564.0,165.09999999999997,3.4161114476075114
